job_title,company,location,job_summary,post_date,more_info,salary,job_url
Développeur Java Junior (F/H),Novencia,Paris (75),"





Carnet de route

Développeur.euse Back-end Java avec une première expérience réussie, tu as une appétence pour la finance et tu es à la recherche de nouveaux défis. Encore quelques scrolls et tu sauras tout
 Nos nombreux référencements offrent un large champ des possibles ! Évidemment, nous privilégions les environnements innovants et donc organisés autour de méthodologies Agiles et de philosophie DevOps.
 Tu intègres l’équipe d’un de nos clients de la Finance au sein de laquelle tes alliés principaux seront Java ainsi que les méthodes Agile, les bonnes pratiques, les outils de test et collaboratifs.
 Tu seras amené.e à :

Analyser le besoin utilisateur
Rédiger les spécifications techniques
Concevoir et développer
Réaliser les tests unitaires
Assister les utilisateurs afin d’assurer une continuité de service




De la technique et de la personnalité


Tu as bâti ses fondamentaux au cours d’une formation bac +5 scientifique ou bien en École d’Ingénieur
Tu es un Spring Addict
Tu possèdes une appétence pour la culture du Software Craftsmanship
Tu détiens de solides capacités d’abstraction et une arme secrète répondant au doux nom d’algorithme
Tu aimes apprendre sans relâche
Tu découvres de nouvelles mines d’or sur Github
Tu interviens dans des contextes techniques et métiers exigeants
Tu souhaites comprendre le thermomètre du monde qu’est la finance
Tu as envie de découvrir un environnement international

S’engager en faveur du handicap c’est garantir l’égalité des chances dès le recrutement. À compétences égales, nos postes sont ouverts aux personnes en situation de handicap




Les plus 

Administratif :

Remboursement 100 % mutuelle
8 à 12 jours de RTT par an
Possibilité de télétravail selon la mission

RSE & CSE :

Possibilité de s’engager auprès de notre partenaire Vendredi
Chèques cadeaux HelloCSE + accès à la plateforme
Accès à ClassPass (50% de réduction)

Autres :

Participation à des events techs : DevOxx, Socrates, Fosdem etc.
Afterwork sur notre Rooftop privé et fleuri
Prime de cooptation








",PostedOffre publiée il y a 1 jour,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ax-dZTyZPaeY82JYaWj1VgA3mPZgyi9qBRxfGBjY9acTDFXm0q3Wtjmc3zz4RnCNrJi965G-kS1ZtrqkCjzKPC1BUjHfB0sL5Jp25HNWOOeQYL-6t2cerqM-CaicnpORpl7OL9wbAutFMLqbDl_73j0FXyM1dyqCkivnmePkj1q7pckRHQZTByt6NGRuEU6RgyEZMWzGQKorCkWn_kdG2uUJ3lHauY59LqF5tCKkNcW9hhfgx2xW3DfXvFmbclDA-JcThCbJKxSsB1M8kTd2oyAhJ9riDQkTPLE4DhKNP_nrkMyb7KcRHTKjjmLUFuySRsbvAZnicl7wBYO1NP9pG8omv3y2DQQfsEYzSZeby4XmWF8WH-FBUfXFCHvPU9_wr3W_Ii7tsbmYXjzjLoXa6hHtbUEG5aPLT73CAJXM42Z4z9V9F6yx1lFnIHR9ZsJ0gtpJknzMSPZVqHMCtPD-RIP9-HFXu4u0XPZfmzc7FIBaOEUihKXYT-V1qR0irq4Bxu3DLrfppM4ZXIU_3D-Cbto25RUiUHM6eqd4cCFe9dLF4J5tb2HPTPgZCu2_KEBXs=&xkcb=SoCx-_M3ZClX80fTY50LbzkdCdPP&p=0&fvj=0&vjs=3
Développeur web junior,My REM Software,Saint-Gratien (95),"


PRESENTATION

Nature du poste : Développement  Mission pricipale du service : Développeur Web   Expérience demandée : Junior   Composition du service (effectif) : 1   Positionnement de l'agent dans l'organisme du service : Le poste à pourvoir est un poste d’intégration à l’ équipe de développement / gestion des bases de données et au processus de la structure. Intégré par le prisme du support aux applicatifs existants, ce pos te a pour objet de réaliser l’intégration pour évoluer à moyen terme dans la st ructure en fonction du profil. 





LES MISSIONS DU POSTE

Mission principale, raison d'être ou finalité du poste : Le poste vise à prendre en charge le support sous e nvironnement PHP SF2/SF3. 4 applications sont actuellement en produc tion.   Missions et activités du poste : 

- Mission 1 : Assurer la gestion du support client niveau 1.
    


    A ce titre il / elle doit :
    


Suivre les processus de référencement des anomali es et de le gestion (Interne / Externe) dans le temps. 
Identifier et reproduire les incidents entrants ( Env. Client / Env Développement). 
Identifier la potentielle origine et analyser l’o rigine / potentialité de correction ; Valider avec le niveau 2. 



- Mission 2 : Gestion des environnements locaux
    




    A ce titre il / elle doit :
    


Gérer les environnements locaux (Souces / Serveur / Base) pour assurer la disponibilité des ressources locales. 
Développer ses capacités de gestion des bases de données. 



- Mission 3 : Développement de correctif
    


    A ce titre il / elle doit :
    


Pouvoir être en mesure d’appréhender les développ ements réalisés et de proposer des solutions sur des problèmes simples de niveau 1. 
Mettre en place et contrôler les tests unitaires et globaux mis en œuvre globalement. 
Assurer la veille technologique liée.



Intérêts, contraintes difficultés du poste:


Accompagnement avec l’équipe de développement
Diversité des missions (Dev. BE / FE ; Gestion BD D ; suivi client ; ...) 
Conditions de travail en équipe dynamique 
Secteur d’activité : Immobilier tertiaire 
Typologie clients : Institutionnels, grands group es 


Champ des relations :



en interne :



    1.Equipe de développement 
     2.Gestion de projet
    




en externe :



    1.Clients (User)
   



",PostedOffre publiée il y a plus de 30 jours,,,https://www.indeed.com/rc/clk?jk=5544b5749b2ab4b4&fccid=afadf3a4409a6ed5&vjs=3
Développeur (euse) CMS Wordpress,Digipop Conseil,Paris (75),"
Maintenir et exploiter les CMS WORDPRESS
Connaissance en PRESTASHOP et SHOPIFY.
Développement de modules
Accompagne les CDP pour la rédaction des spécificités techniques
Conseille le client sur les problématiques techniques
Présente les solutions techniques au client
Participer aux phases de conception et de chiffrage
Être force de proposition sur les architectures et les outils.
Surpervise l’utilisation des bonnes pratiques
Encadrer techniquement les réalisations d’une équipe de développeurs.
Gère la mise en place et l’utilisation correcte des outils et procédures définis (CICD, GIT )
Garantir la qualité des livrables.
Déployer les applications en production.
Veiller au respect des dispositions qualité et normes de développement.
Analyser les incidents applicatifs.
",PostedOffre publiée il y a plus de 30 jours,De 33 000 € à 38 000 € par anTemps plein,De 33 000 € à 38 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWwiMqhoVxdvCMNVF93YEM_1xEcswtRThhGtBI7OW_wa5irN8E8MNpZA7vItE-_GqheD9s80Xr0hO-K9cqT3GZS9ry4U10HZQqZroRrBES8klNsjhM70FsrPiO_Pb00GE14aIi0k68JO8dkol2c_TYlY5NJunRvzULt_bSmyAduCyPxozSAvFDkEn7tqEYR_cUSfuq2zDEaPTAkFPHuXj9exdDEy9mLKlP-WCYM2Gcu3gIuiNiBB9Q9qjPxc62uLBbKeZFR8tev9viDmqLWWhYMgInBI0EIBbSZ1fyyW37gzlzKsudNVztPZNhgoPOrl9yv5SL4LhnDG7u9eKaiVr0gsgbBpq_km48DCnRSeMD-Zfp3MKvp0TPWgTMot9NAEXp4Z58lARC0VFQ_mo8kG82RC9pLpfkd6zSihxtn4HzNoDJG8Yjyo0T7L-ZDFSfUBotSvZyKVq_U43lXNXCCavQTPTRH4THmYVTVGe4Z1flJ797T6uzwA2SRV4Bey8mIIqHXVdj1kGAJ39bST2xvJqxnJT_wo31m3RfV5N3LZzFYp0QzcSTq7mr3Xa2kiOQHHhC8AD4xWKTdL4HMEeh7vNpVrswliCwCCwd8fxYjnamPbQm7TAR1KE59PjW1lIFE5LmFp6SpBlqBevyVqpVXbOJ1NLEwRFNAzWqNx03J4ZFWPNfJlwNf6SHkAyg1e84a_ZGKLiRtd_2b9qJ0BlINMJ7p7zZuPSWB4osucktlRbH51PiDGXC6FH7clrA_r_yiLAL8Shaf5sO89Uw==&xkcb=SoCY-_M3ZClX80fTY50JbzkdCdPP&p=2&fvj=0&vjs=3
Web Developer Full Stack H/F - CDI,Disneyland Paris,Montévrain (77),"
Le département Digital Technology fournit, par le biais de nos sites web et de nos applications mobiles, un portail internet de premier niveau vers notre destination. L'équipe Digital Technology conçoit les sites web marketing & e-commerce ainsi que l'application mobile pour nos visiteurs. Dans ce cadre, nous sommes à la recherche d'un.e Web Developer Full Stack pour rejoindre notre équipe de développement E-Commerce.  Vos Missions ?

 Développer de nouvelles fonctionnalités pour mettre en œuvre la feuille de route des produits E-Commerce
 Développer les parties client-serveur
 Analyser les témoignages des utilisateurs et participer à la planification des sprints, aux démonstrations et aux rétrospectives
 Négocier et ajuster les exigences en collaborant avec les partenaires commerciaux internes
 Produire un code facilement testable et bien testé (unité, intégration, performance, ...)
 Effectuer des révisions de code
 Comprendre les concepts d'intégration continue et de prestation continue et résoudre les problèmes qui y sont liés
 Assurer la disponibilité et la haute disponibilité des développements
 Garantir la performance et l’exploitabilité des développements
 Assurer la qualité du code, le maintien et le faible niveau d'endettement technique des développements
 Participer à l'estimation des nouvelles initiatives
 Apprendre de nouvelles technologies lorsque cela sera nécessaire


 Vos atouts pour réussir ?

 Idéalement titulaire d'un Bac+4/5 en informatique, vous avez minimum 5 ans d'expérience dans le développement de logiciels et au moins 3 ans dans le développement de sites web E-Commerce.
 Vous possédez d'excellentes compétences en développement Java et JavaScript. Vous savez créer des sites web de qualité commerciale et développer des sites web qui s'interfacent avec les services RESTful.
 Vous avez une solide connaissance de la programmation orientée objet, des tests unitaires, tests comportementaux et de l'intégration continue.
 Rigoureux, organisé et enthousiaste, votre esprit d'initiative et votre relationnel vous permettront d'assurer avec succès les missions qui vous seront confiées, et de vous adapter rapidement à un environnement international dynamique. Vous maîtrisez l'anglais, tant à l'écrit qu'à l'oral (niveau B2 minimum).

 Nos atouts qui créent la différence


 Une session d'intégration complète et un large éventail d'options de formation pour le développement des compétences
 De nombreuses possibilités de carrière (promotion interne ou mobilité horizontale)
 Un environnement exceptionnel, international et multiculturel concentré sur un site unique


 Prêt(e) à participer à une formidable aventure humaine ? A rejoindre nos collaborateurs (Cast Members) partageant la même ambition professionnelle : celle de faire vivre la magie Disneyland Paris pour les millions de visiteurs qui viennent dans nos parcs tous les ans ? Il ne vous reste plus qu’à postuler car nous sommes prêts à vous donner les moyens de faire rayonner vos talents !  Disneyland Paris est soucieux d’offrir à ses Cast Members les conditions de travail les plus favorables à leur épanouissement professionnel. Dans ce cadre et pour garantir une flexibilité optimale, les emplois qui ne nécessitent pas une intervention ou l’accès à des installations ou applications sur site et/ou des interactions physiques peuvent s’exercer en télétravail, avec un minimum de présence requis de cinq jours par mois sur site.
",PostedOffre publiée il y a 9 jour,CDI,,https://www.indeed.com/rc/clk?jk=3acb0ecc6169b022&fccid=6908893b5c7af08c&vjs=3
Développeur frontend et site web expérimenté (H/F),QUADRIS,Nanterre (92),"Sous l’autorité du Digital Technical Lead, et au sein d’équipes de développement agile, le développeur frontend 


et site Web est chargé de :
 Contribuer au développement de services digitaux performants ayant pour objectif une 

commercialisation : design, développement, test, mise en production, sur un environnement 
Microsoft Azure en langage Javascript / Angular. 
Contribuer à la gestion et à l’évolution du site Web Beyond by T.EN promouvant l’offre de 
services digitaux du client. Ce site a été bâti sur une base CMS Sitecore. 
Participation à la veille technologique",PostedOffre publiée il y a 5 jour,De 40 000 € à 45 000 € par anTemps plein,De 40 000 € à 45 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWyH09BFAEkP_xnfOXZK0DiHlo2zW4wyxX8C9VxqZ_BrAv_1aUCz7Dn6PssW8QQqL6Z-PPOqFpuKTZcbRxr7upiTVoO_b4svgTJIVcSnsoHS77ojgG4LWSrOyTA9v-zUGsk4kfeM5Wsc-JkAT0ecimKVERPmK-yCZuCtXAN4y0rUOLt-5SgccksSXTyDBjIxPx3llWfQdT1gfXravjgizRiSsbMxP-6B6uTWZxgQupkiwW50BTM3TmldNLw2fZBdOouU6qIALzDqpAFiK-HVlCUxDW40r2P-6H2H2wO95g2JUEoTgAoOoCI0tqYth55GvxDguInGCnCzOGSkbZ44pIfbYURD3oKZm6HgqZ6DoCzEsm0fcXA3QG3HvcWA_YoHxBFI4rZaKXIeb8UEPb3w287USdoqcL3Izy6Yy4ySCqxl2rtcG44iHsz7AfGy47kqRSys9rkKc4rhJzNY5DY2c8lTJeojS2dO4irPiFeNvDP15AfUvpQFcMHPS9xznKzR_asdhKNJbcvx9lR3qDv0AUhx4wWL63e89yz7IcKGds8DKfuAQcXqKIDanwlt33qEfG9Dt9Iik8jywy_ynWlpYEfsinZ5TvxDQQovicarvj1KMy7mAp7u18eCYsay_UY0t73XOVBhJ6wPp4zndhgVjyYdr3ZYkHkccvGZTnjRi8jkSJ0JwervRbDByJzUc6KamNRHDmuMtORv_EOS8mg_O39h4rN6d0yf5I_9wYgSanD214Y_HemLiOVkdGOVcMwHHVjlT7RLnxfYKg==&xkcb=SoCi-_M3ZClX80fTY50PbzkdCdPP&p=4&fvj=0&vjs=3
DEVELOPPEUR FRONT HTML CSS JS,INFOLOR,92300 Levallois-Perret,"Nous avons une offre très étendue et très complète qui couvre donc les aspects Paye, Ainsi le département R&D c’est 80 personnes qui couvrent : - Les product owners : 20 personnes qui vont amener la solution à être la plus compétitive possible au travers s de l’analyser de la concurrence, des retours des consultants et des besoins clients - Les dév applicatifs : vont réaliser les adaptations et projets conçus par l’équipe produit- L’innovation : va améliorer constamment le framework dans un enjeu d’ergonomie, de performance (mise à dispo de composants vuejs de sorte à faciliter le quotidien des développeurs) La cellule innovation a été mise en place début 2021 dans le but de mettre au gout du jour l’interface utilisateur, l’ergonomie et factoriser le code des pages web. Cette équipe a opté d’utiliser VueJs comme framework et a déjà mis en place un certain nombre de composants. Au sein de cette équipe, il y a une cellule d’UX/UI. Les développeurs doivent : Assurer le développement des composants performants et simples à utiliser par d’autres développeurs Contribuer à la maintenance et à l’évolution desdits composants Aider à migrer les pages existantes sur cette technologie Participer à la création de nouvelles applications ou sous application Description et points d'attentionDescription détaillée (interne) : Le poste de Développeur consiste à apporter des améliorations continues à nos applications paies et RH de sorte à les rendre plus compétitives et simples d’utilisation. Cela consiste notamment à : • participer à l'analyse afin de cerner les besoins des utilisateurs ;• déterminer les solutions techniques à mettre en place pour effectuer les développements ;• se charger de l'écriture du programme ;• participer aux phases d'essai afin de tester les produits finalisés ;• prendre en charge la rédaction des fiches techniques ;• s'occuper, si besoin, du soutien technique et effectuer des opérations de maintenance éventuelles ;• se charger de faire évoluer et d'améliorer les développements effectués. : 1. Un projet consiste en la réalisation d’un nouveau développement, avec des fonctionnalités innovantes nécessitant la collaboration d’une équipe développeur /produit /consultant/client/. Dans ce cadre de projet, la notion de qualité et d’adaptation est aussi importante que la notion de délai.2. La maintenance consiste en la réalisation de développements pour lesquels nous avons des impératifs de délai dus par exemple aux évolutions légales, aux besoins fonctionnels urgents des clients, aux devis spécifiques … Le respect des délais (tickets prioritaires) est alors essentiel.3. Le développeur doit bien appréhender les enjeux de formalisation et de réalisation des plannings, il doit organiser son travail de sorte à respecter les méthodes du département.Chaque mois le développeur renseigne dans l’outil, et ce pour tous les différents projets ou missions qui lui sont confiés, l’état des lieux des objectifs de réalisation du mois (avec le temps prévu et les délais impartis). Afin d’optimiser la planification, le développeur doit utiliser nos méthodes internes, c’est-à-dire : la réalisation d’un planning mensuel ; la réalisation d’un suivi hebdomadaire ; la réalisation d’un point quotidien. 


Descriptif Compétence 01 : Nous utilisons VueJS comme framework, il est donc obligatoire la bonne maîtrise de HTML/CSS/JS.Le candidat doit savoir décrire à quoi sert le langage JS et maîtriser son utilisation.Le candidat doit savoir décrire à quoi sert le framework VueJS (3) et maîtriser son utilisation.Le candidat doit savoir décrire à quoi sert le vue-router.Le candidat doit savoir décrire à quoi sert le langage HTML et maîtriser son utilisation.Le candidat doit savoir décrire à quoi sert le langage CSS et maîtriser son utilisation. 5 ans d'expériences minimum",PostedOffre publiée il y a plus de 30 jours,55 000 € par anCDI +1,55 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bl_GJvjV7T_nyT7YhzCl__eWgtG2pYAfIQqTT3QwFobB8o1kHFDV9c_GUxH4mpxlc8sQqNkkejOyUqV_g8iPUE3Iavxt-1n0ifFOCjbiTTBcC6mleV7gu7oIWWpnivHOQSy0zmSoIJqCA4eDT9feuw9w9DlJDkb7F9QuprvVr1iqpBrQAIDrEDtJ_2eDNlfhbpXrf8P_kkoW5-LeknwhkURU8KPYgSKcbEQTI4ofsbJ2MzR59aceVQfvvksQ_p3DDHs_EQvzta5RxVZhSrztLbfn2KqxTEEV-uWwci7HuKxZN0HEKRwLlKGdppB3lyaxBRQ8mfUCuJeWo1SOcptM-71pAUGbL3UE1sACu2cjHcSIZl5Fi9xKIm2JFfcAhM1XeIPdauZ9W_HlXkNw3LWDHbLHQ46glr3vJ-7Fzmy50lyukqsMxb9j4ORJ5NodEOW7U-68hhB0st9XhO-LSqeGJ02mb-60VFzMQ7O5vBF3ZSGbzV5wNm0MPESwyvy0eJLNrOmXwmyBHwMXC5E5Ew6QamNk0foPVvh85YUL0NZ4SJno-_MpEavFkLOnaeNc5E1-xmnSoHnzM_SgvdVfhK0W8jimfP5JvNujsuAlqJSrlgu7W0gRLWWptUnS3_1wV_ozUeHw8tUBrf_PmKVfLdcgQdBdQBZ4TY1PdUawrLeZT5x6s8lWSCaVLplXSbFoAPsriacHGuQgUO4W9leAJDPFrKk_8yLv36eLmY1CZ35ybRqfouDxxH7ksuJi8vLRAQspEH13tqhdghZ7ya4FKIt_hjA2fUs5goNibA9yASlMzyaFowpoid_cUfsXQiCuQAslC-cdSJ0dDZ7MmRGrylMcwS&xkcb=SoD0-_M3ZClX80_TY50LbzkdCdPP&p=5&fvj=0&vjs=3
Developpeur Java,1PACTEO,Paris (75),"Java, minimum 3 ans d’expérience, avec des compétences en Java 8/ Hibernate 5/ Spring 5/ Angular 12 / Oracle SQL. 

 L’expérience en finance de marché fortement souhaitée.",PostedOffre publiée il y a 4 jour,De 40 000 € à 55 000 € par anTemps plein,De 40 000 € à 55 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWzPpmES-gMOe0-HpdAgnBNFtLoF7dcjJRzktjrxRpEtaUOzNsLWrhhlQEj7QNGHbx9PJ4c1ZvkhkHWj_x9l2jKByhsfJRm3wW5_2aNbrVIiQrEAn9Oe-LhGkzwXtNL61IHWgZlUAu50mUpu75csrThiVI9z9OK1WzqH40kcoBg6JqfajDsMhO0-2kUHQz1kZAGsQAiFUfZdIRHzecvMxMkzfyTENw46iFbUW0JSp1wDaQzJ_iYTE5aPEDLN0zlqvRof1t2RaL1WrsbsS5pScXQ01gR5Wm0u8X-Y5vEUe1qUGn3QeSJAw0AwkBEz4mn4ZGAUPYLnz5a3UK5OYBpPAxkK9Owc7nEBC1NZuK7hkZJS4erSuhZMqEYnNsc4OM-9PGPfRW9OwXsT3XPACrNQSyzzDaIi_keO1r9zinPqvFmCp2ru-Ag2ycC4z-Rc4ldouAALfeyRjVzbmzU8OQHtyAyqL7JKec8_1UtZxRIl-9WwgY-CVx3vYcmJwKsGSQsnmyVkGWPsl_ryjr_Wz78A9met0EsVA95mJJrzRTuIFiGgnpfolL_Lm8rIQXdr9bKA7wC-vJ1NHbYf7dk3LOIX6sIhjhaHIRGK6oTAHl2g2-4t2-uZAuc90SKDpQDnYLhDV7A7nsm8yHfQsttLXwtqK8jlMlfqdB0pVv5Zse_X4yRiEZrX2vvg6a-huLHjLf0pXPJdWESB7FsuWk9qAmVQ2SG5DRp671Rhq_jPMtuWrV6_yw==&xkcb=SoBA-_M3ZClX80_TY50KbzkdCdPP&p=6&fvj=0&vjs=3
Développeur VueJS (H/F),HR-TEAM,Paris (75),"Dans le cadre d’un accroissement d’activité, nous recherchons plusieurs développeur VueJS (H/F) pour intégrer notre Squad Software Engineering. 


Le projet :
 Au sein des équipes techniques et sous la responsabilité d’un Tech Lead, vous intégrez une équipe de développeurs dédiée au développement et au maintien de différentes applications. 


Vos missions :


Développer de nouvelles fonctionnalités des outils en fonction des nouveaux besoins métiers en VueJS Typescript
Participer à la démarche de qualité/test
Participer au travail d’analyse et de modernisation de l’architecture front
Participer aux différents rituels agiles
 Profils recherchés / Stack technique 
Au minimum 3XP en VueJS (Vue 2 - Vue 3) / Idéalement NuxtJS 
Maitrise de Typescript 
Ecriture de tests unitaires sous Jest 

BDD : MongoDB 
Connaitre Webpack serait un +",PostedOffre publiée il y a 22 jour,De 50 000 € à 65 000 € par anTemps plein,De 50 000 € à 65 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWylM_PciljPDJmCD6Q58Pd3FUCjZ2cVWd74y3jTWZ-tgKLQl_QPzT5I1wfubYVKku3BpqCsLeelat8VJZAg9d3yEpT33GrlK-WhwzPx4N4roU6PDgZT-zX_8VCFsTiPpt_FeI30M8wOrAX_ep79QjAZr6945aOq51_-BvLHqbFZfUfHL511tlj7Z0Y3L-28fGUIhloUpjJdet84sOc_AG9kRuQm3qOlTwuFkgindNmHcuyroclgjPA0Yqa2vUEa9n6AMH2yo6unaKsqmpIaEdtno-UXHhDCTcIb_EaOp6FkMgX4Arz29OgQJLbCmuarIBXOFuj81giwzZTDxWdCTzCFP0V8Vem4DEEV3haAtWX5p0j76LDk5n8qtEmXgubpoha74av5gkGYmmpIinKUFs8vp4r5jR6UW4DXPUbwDfqs_tn4g9r2nPRCRIUxGI5ijgNYkVYfogtQ40V-_5mAyib9qhFhlmbSnVyhtx6FE0RYSa6358gnBqUTLOk4cY7ULaHUac8HL4JrzK9-JAi1Ce8cl1WZsj8oapJLlEUKavidVH-DxSkky_15rz0whM49AY8JMxTIky31wZAm8gywVBW2VRANHZg0HnsqcND_WzdtqQMvfi3V2UAoHNMjh74P7T6mrGrcVkBqQ0Yrr2YKUzvBYP-TuKkOvVE2lalbzs6B4c2xYjohqfEVAipLjtfOPEgaW1neYTxvyhJrTtxL64f-21xXoTn2Hjy3EKcpl-GOZbjwVENfoO2c&xkcb=SoDd-_M3ZClX80_TY50JbzkdCdPP&p=7&fvj=0&vjs=3
DEVELOPPEUR WinDev H/H,Squaar,Lille (59),"Lieu: Nord Ouest de Lille 

Salaire: 35 - 45k / an 

 Au sein de l’équipe Informatique et rattaché au DSI, vous participerez au maintien et à l’évolution des solutions actuelles de notre client, directement liées aux activités de production industrielle. 

 Vous travaillerez en étroite collaboration avec les services utilisateurs. 

 Vous prenez en charge la globalité des projets qui vous seront confiés : L’analyse fonctionnelle, l’analyse technique, le développement, les tests, recettes et documentation.",PostedOffre publiée il y a 24 jour,De 35 000 € à 45 000 € par anTemps plein,De 35 000 € à 45 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWwo_l5tqw79DyCCBpvUih2KwCybqa5qmAwQNoVpiVXmYEmwcDPjSrm1sbdNh8FEOLitOy916j3Nuo0XpMGIZgzFqgnf2GjEi4pzU_iRznnth9PafuPJaKZidEGhZfE8YgM9V5Tz9ghyz457_aN50SU0XYR9EJBfNXQ2_sdaeqd5Z6te2enudBk-MfJzamYatYBZh5-SRTLZM2OC3I0CfTucfVb8w5ezKBI_6zD7bJMzELRtdO4Yif_NQAKwOc56rCkL9THwS1VaIswOpq5YULHfRgvgmS-LpYB6UGje-ghtandc3BQ_aySQf-BIgbMt6PcGrSRjY33mGRNXaQSMI-HyWJp0wbYtWseXTMuWKr4H9FgiLs0nSSWLyyzaM3BkcZPBJ2mrOT-6TDcpzJR0FchTf4RaN10d3Um5WjCVnCCrAfUJXg66Ps-8rAesqNzzEfmqpMwI-9KMdHYIpBMXs06SZIhP6dKYFZvKwlVrLDCWaYVSDip-XY9rsw8YpmateXvxqK9gxCDh8-7pW27r7JywzE74e_KZ2Ti5Km30U-Jr1Mh6c4Pxiw3WO3t_CjkLoWYoozbjJcyxdI3TUVhRn9kqV-RwP4-vLrGVV-UdowIgthoy5Q-0IS0javRm-48005C9IWwiOliUOrFq5sO8PPiz4dHDbVG8HC8Zen8MsQeMMnImltDreKGWw-Okg1PXgj6qwE_5pWjHWGdYrKZhSh8eyTImV1xsdy7j2XD41sn4smU5YzZQSY4L&xkcb=SoBp-_M3ZClX80_TY50IbzkdCdPP&p=8&fvj=0&vjs=3
Développeur NodeJS (H/F),HR-TEAM,Paris (75),"Dans le cadre d’un renfort d’activité, et pour intégrer notre Squad Software Engineering, nous recherchons plusieurs Développeur NodeJS Typescript (H/F) 


Secteurs d’activités: Cloud, Cybersécurité, Transport, Pari sportif 


Vos missions :


Participation à l’élaboration du cahiers des charges et recueil des besoins
Définition de l’architecture back du projet
Développement de nouvelles features
Maintenance des fonctionnalités existantes
Mise en place et maintien des bonnes pratiques de de développements (TDD, BDD, Agilité...)

Compétence requises :


Expérience en architecture microservices et/ou hexagonale
Expérience Serverless (AWS ou GCP)
Pour les profils expert, la maitrise de l’anglais est indispensable (échanges quotidien avec équipes offshore)
Maitrise / ou connaissance de GraphQL
Maitrise de Typescript
Notions sur des langages front : Angular 2+ , VueJS, ou ReactJS
 Possibilité de full télétravail pour les profils experts.",PostedOffre publiée il y a 22 jour,De 50 000 € à 65 000 € par anTemps plein,De 50 000 € à 65 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWylM_PciljPDDprlPRNv42f_nGdT9_7mvCBZCcx0yrwOAXT3AerKq1ys-uZSvnEyP3oNYHf-Lmwc5MctuTcU3v_bVlamytl7frI_-UgJx7Vj0RuLN0f_DGaz5ymyj30-S461DpnY2kU5b9b6m_Y4s-cR7l3hvxBoY4Rjk-Yhev2YmcyHM7kXawpYHfiYzgaMa9lfeMcMkMaLh4ztNwa7aV2OPCvXbFjHInEHB77lNjLLGVgeeH8M6Fn5h4MwN0MPUumxO7c4ln6MvS1uj6VG0qZTUmD3IwxvLz1gSURdzBVy79VxbmNUbF0B3_QYAS7J6U9Dy1VzYCcfusaUy-BbYgv_684_jkDejVUX3tsyfTx6Il1i9P5pmNLtCjvorcLbav7LimxTPKiae6alipW6sZbHpVDjYP2cZ5IcMUzYrYb8suYb-HL310Y3yHnnfJhleUKaZUz6-n4umDGDX3Wmd-laUI1DudjDn9naXzphU4L1YkhICKHdprw89aykl2Ir42H6lWmDnQUPp4mz36mcviKpePt-9Dl47nlgZy0jHiOGxzuwa0PUg7LBtKkS_jeLmMPoGnXgMwa5CSwY0L9UC8d2TDfyKHDIwUJiOLMww_0jED2l9U6AgV9rYdfKzxSmJTIuGajgEYpyAqcsSmeA5HuiVJiNTNqumRXPmGzC_Vwchh2r2o0f9czEwGQlXaZicnHWQrLKMiLzyP8QZIkNBHCDOqu86rBLMClA5n2W3H1xGIhhXZsqbrf&xkcb=SoDn-_M3ZClX80_TY50PbzkdCdPP&p=9&fvj=0&vjs=3
